mageX,imageY,magX,magY,magZ,mag_val,lat,lon,ts,floor
183.0,149.0,-44.10000228881836,15.206250190734863,-66.97500610351562,81.61918701692001,11.0651853,77.0929485,1770260023052.0,1
170.0,124.0,-44.13750076293945,15.450000762939453,-67.03125,81.73132798221138,11.0651853,77.0929485,1770260023047.0,1
143.0,112.0,2.5500001907348633,-14.850000381469727,-36.30000305175781,39.3028654662739,11.0651564,77.0929758,1770260093188.0,1
173.0,134.0,-30.375001907348633,-21.600000381469727,-4.275000095367432,37.51634821203041,11.0651564,77.0929758,1770260093187.0,1
156.0,158.0,-15.675000190734863,21.337501525878906,-26.306251525878906,37.32309568737873,11.0651757,77.0929463,1770345880206.0,1
78.0,233.0,-29.756250381469727,36.1875,3.9562501907348633,47.017246926914034,11.064989,77.0929208,1770346136067.0,0
94.0,238.0,-31.687501907348633,34.25625228881836,4.518750190734863,46.882914812217706,11.064989,77.0929208,1770346136066.0,0
185.0,341.0,17.100000381469727,84.0,-1.5,85.73599018525572,11.0649337,77.0930355,1770353271661.0,0
209.0,342.0,6.300000190734863,59.400001525878906,3.375000238418579,59.828428111450506,11.0649479,77.0930453,1770353285760.0,0
224.0,339.0,5.550000190734863,45.0,-5.325000286102295,45.65258076126854,11.0649366,77.0930625,1770353295288.0,0
242.0,340.0,-10.425000190734863,37.125,-3.075000047683716,38.68335403335751,11.0649497,77.0930646,1770353308886.0,0
178.0,16.0,-9.450000762939453,-78.4312515258789,30.750001907348633,84.77220268246651,11.0652255,77.0929591,1770636169236.0,0
209.0,158.0,-31.450000762939453,16.3125,-10.862500190734863,37.05663388156845,11.0649467,77.0929358,1770636293571.0,0
87.0,200.0,-27.712501525878906,-58.48125076293945,-37.78125,74.93638824484502,11.0650074,77.0929356,1770636297556.0,0
104.0,223.0,40.38750076293945,-16.762500762939453,6.300000190734863,44.17942566520348,11.0649614,77.0929366,1770636297177.0,0
112.0,225.0,-10.575000762939453,36.60000228881836,-17.625,41.976558144727385,11.0649749,77.0929171,1770636297290.0,0
137.0,238.0,-45.76875305175781,-37.81875228881836,6.975000381469727,59.78032628647402,11.0650344,77.0929157,1770636302636.0,0
